id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
"FE-000","P0","0","frontend","初始化 Vite + React 项目","搭建 Vite + React 18 基础框架，配置 TypeScript","项目可启动；vite.config.ts 配置正确；tsconfig.json 编译通过；支持 HMR","AUTOFRONTEND","检查依赖版本兼容性；确认目录结构符合 monorepo 规范；验证开发服务器端口配置","验证 npm run build 成功；检查生成的 dist 目录；验证生产构建优化","已完成","已完成","已完成","已提交","","plan/frontend-plan.md:188","done_at:2026-01-21"
"FE-010","P0","1","frontend","配置 TailwindCSS","集成 TailwindCSS，配置 PostCSS 和 Autoprefixer","tailwind.config.js 配置正确；postcss.config.js 配置正确；样式可正常应用；支持自定义主题","AUTOFRONTEND","检查 Tailwind 配置覆盖范围；确认 purge 配置避免冗余样式；验证响应式断点设置","验证生产构建 CSS 体积；测试暗色模式支持（如需要）","已完成","已完成","已完成","已提交","","plan/frontend-plan.md:69-70;plan/frontend-plan.md:189","done_at:2026-01-21"
"FE-020","P0","2","frontend","配置 Ant Design","集成 Ant Design 5，配置主题和按需加载","antd 组件可正常使用；主题色配置生效；按需加载减少包体积","AUTOFRONTEND","检查主题配置与设计规范一致；确认国际化配置；验证组件样式不冲突","验证生产构建体积；测试组件渲染性能","已完成","已完成","已完成","已提交","","plan/frontend-plan.md:190","done_at:2026-01-21"
"FE-030","P1","3","frontend","设置路由结构","配置 React Router 6，实现路由守卫和嵌套路由","路由配置包含 /login、/、/webhooks、/webhooks/:id、/history；实现 ProtectedLayout 路由守卫；未登录自动跳转登录页","AUTOFRONTEND","检查路由守卫逻辑完整性；确认嵌套路由层级合理；验证路由懒加载配置","测试未授权访问；测试路由跳转；验证浏览器前进后退","已完成","已完成","已完成","已提交","","plan/frontend-plan.md:137-153;plan/frontend-plan.md:191","done_at:2026-01-21"
"FE-040","P0","4","frontend","实现 API 客户端 (Axios)","封装 Axios 实例，配置拦截器和错误处理","client.ts 配置 baseURL 和 timeout；请求拦截器自动添加 JWT token；响应拦截器统一处理错误；401 自动跳转登录","AUTOFRONTEND","检查 token 刷新机制；确认错误提示用户友好；验证请求取消逻辑","测试 token 过期场景；测试网络错误；测试并发请求","未开始","未开始","未开始","未提交","","plan/frontend-plan.md:23-27;plan/frontend-plan.md:192",""
"FE-050","P1","5","frontend","实现 Zustand 状态管理","创建 authStore 和 webhookStore，管理全局状态","authStore 包含 user/token/login/logout；webhookStore 包含 webhooks/loading/CRUD 方法；状态持久化到 localStorage","AUTOFRONTEND","检查状态更新逻辑原子性；确认持久化字段安全性（不存敏感信息）；验证状态订阅性能","测试状态并发更新；验证持久化恢复；测试内存泄漏","未开始","未开始","未开始","未提交","","plan/frontend-plan.md:55-57;plan/frontend-plan.md:157-182;plan/frontend-plan.md:193",""
"FE-060","P1","6","frontend","创建 MainLayout 布局","实现主布局组件，包含 Sidebar 和 Header","MainLayout 包含侧边栏和顶部导航；Sidebar 显示菜单项并高亮当前路由；Header 显示用户信息和退出按钮；支持响应式折叠","AUTOFRONTEND","检查布局响应式适配；确认菜单权限控制；验证折叠动画流畅性","测试不同屏幕尺寸；验证菜单交互；测试退出登录流程","未开始","未开始","未开始","未提交","","plan/frontend-plan.md:29-32;plan/frontend-plan.md:194",""
"FE-070","P1","7","frontend","实现登录页面","实现用户登录表单和认证逻辑","登录页包含用户名/密码输入框；表单验证生效；登录成功跳转 Dashboard；登录失败显示错误提示；支持记住登录状态","AUTOFRONTEND","检查表单验证规则完整性；确认密码输入框安全性（type=password）；验证错误提示清晰","测试错误凭证；测试网络异常；验证记住登录功能","未开始","未开始","未开始","未提交","","plan/frontend-plan.md:40-41;plan/frontend-plan.md:79-83;plan/frontend-plan.md:195",""
"FE-080","P1","8","frontend","实现 Dashboard 页面","实现数据概览页面，展示统计卡片和图表","Dashboard 显示 Webhook 数量、今日请求数、成功率卡片；显示请求趋势图（ECharts 折线图）；显示最近请求列表；数据自动刷新","AUTOFRONTEND","检查数据加载性能；确认图表渲染流畅；验证空数据状态展示","测试数据刷新；验证图表交互；测试大数据量渲染性能","未开始","未开始","未开始","未提交","","plan/frontend-plan.md:42-43;plan/frontend-plan.md:85-89;plan/frontend-plan.md:196",""
"FE-090","P0","9","frontend","实现 Webhook 管理页面","实现 Webhook 列表、新建、编辑、删除功能","Webhooks 页面显示表格；支持搜索和筛选；新建 Webhook Modal 表单验证生效；编辑/删除操作成功；支持启用/禁用切换","AUTOFRONTEND","检查表单验证规则；确认删除操作二次确认；验证表格分页和排序","测试表单提交；测试删除操作；验证搜索筛选；测试表格性能","未开始","未开始","未开始","未提交","","plan/frontend-plan.md:44-47;plan/frontend-plan.md:91-96;plan/frontend-plan.md:197",""
